,row,col,StemTag,frac,Status_2024,Status_2025,crown_intact_2024,crown_intact_2025,crown_living_2024,crown_living_2025,BBD,BBD_severity,BLD,BLD_severity,FAD_2024,Fungi (F),Leaf Damage (LF),Insect Infection (I),Canker (K),Wound (W),Rot (R),Defolation (DF),Broken stem(B),Animal Damage (An),Hollow Stem (HS),Bark Beetles (BB),Unknown (U),notes,Heart Rot (H),Useable
24,3,13,191166,0.014351835889312728,AU,AU,40,70.0,20,40.0,1.0,"large cankers, scale insect, orange bark",1.0,banded leaves,"K,W,B",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
25,3,14,201050,0.0038091307026635367,AU,AU,100,100.0,95,10.0,1.0,"Big cankers, scale insect, orange bark",1.0,"advanced, curled and dead leaves","K,DF",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
26,2,13,191242,0.04969278428843738,AU,AU,90,90.0,78,75.0,1.0,"big cankers, scale insect, orange bark",0.0,,"K,DF",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
27,3,13,191242,0.03401328508209631,AU,AU,90,90.0,78,75.0,1.0,"big cankers, scale insect, orange bark",0.0,,"K,DF",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
28,10,22,331456,0.018321689829420586,AU,AU,99,99.0,99,99.0,1.0,"large cankers, scale insect, orange bark",1.0,"advanced, curled and dead","I,R,K",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
29,11,22,331456,0.0032338571643569032,AU,AU,99,99.0,99,99.0,1.0,"large cankers, scale insect, orange bark",1.0,"advanced, curled and dead","I,R,K",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
30,10,23,341162,0.01999090721200093,AU,AU,93,93.0,78,80.0,1.0,"small cankers, scale insect",1.0,banded leaves,"K,DF",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
31,16,15,240109,0.05768788630164523,AU,AU,97,99.0,96,60.0,1.0,"small cankers, scale insect, orange bark",1.0,"advanced, curled and dead","K,I",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
32,16,16,240109,0.0054937415402153845,AU,AU,97,99.0,96,60.0,1.0,"small cankers, scale insect, orange bark",1.0,"advanced, curled and dead","K,I",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
33,17,15,240109,0.006007065441741785,AU,AU,97,99.0,96,60.0,1.0,"small cankers, scale insect, orange bark",1.0,"advanced, curled and dead","K,I",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
34,15,11,170750,0.01220719885201132,AU,AU,98,95.0,86,75.0,1.0,"small cankers, scale insect",1.0,"advanced, curled and dead leaves","DF,LF",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
35,15,10,160836,0.002519668864466999,AU,AU,95,95.0,90,90.0,1.0,"large cankers, scale insect, orange bark",1.0,"advanced, curled and dead leaves","K,I,F",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
36,14,9,140377,0.00638751099408659,AU,AU,95,95.0,63,55.0,1.0,"small cankers, scale insect",1.0,"advanced, curled and dead leaves","F,K,DF",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Oak seems to have overgrown it in the last 5 years,0.0,Yes
37,14,8,130286,0.03131363409010856,A,AU,100,100.0,100,100.0,1.0,"small cankers, scale insect",1.0,strongly banded leaves,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
38,14,9,130286,0.005337702479647025,A,AU,100,100.0,100,100.0,1.0,"small cankers, scale insect",1.0,strongly banded leaves,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
39,13,8,130332,0.028983358960033387,DS,AU,80,80.0,0,10.0,1.0,"large cankers, scale insect, orange bark",1.0,strongly banded leaves,"DF,BB",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,No
40,14,7,110339,0.002996230158138404,A,AU,98,100.0,96,100.0,1.0,"small cankers, scale insect, orange bark ",1.0,banded leaves,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
