"stem_tag","status","BBD","BLD","year"
"12686","AU",0,0,"2024"
"12739","AU",0,0,"2024"
"30056","DS",0,0,"2024"
"30176","DS",0,0,"2024"
"31078","AU",0,0,"2024"
"32534","A",0,0,"2024"
"40652","A",0,0,"2024"
"40668","AU",0,0,"2024"
"41587","AU",0,0,"2024"
"41648","AU",0,0,"2024"
"42565","A",0,0,"2024"
"61581","AU",0,0,"2024"
"81091","A",0,0,"2024"
"81369","AU",0,0,"2024"
"100091","AU",1,1,"2024"
"100294","A",0,0,"2024"
"110339","A",0,0,"2024"
"120690","DS",0,0,"2024"
"121672","AU",0,0,"2024"
"121716","AU",0,0,"2024"
"130286","A",0,0,"2024"
"130298","AU",0,0,"2024"
"130332","DS",0,0,"2024"
"130684","AU",0,0,"2024"
"131058","AU",1,1,"2024"
"131112","AU",0,0,"2024"
"131190","AU",0,0,"2024"
"131229","AU",0,0,"2024"
"131659","AU",0,0,"2024"
"140377","AU",0,0,"2024"
"140542","AU",1,1,"2024"
"141939","AU",0,0,"2024"
"150624","AU",0,0,"2024"
"151427","DS",0,0,"2024"
"151613","AU",0,0,"2024"
"160806","AU",0,0,"2024"
"160809","AU",0,0,"2024"
"160836","AU",0,0,"2024"
"161880","AU",1,1,"2024"
"162138","DS",0,0,"2024"
"162176","A",0,0,"2024"
"170750","AU",1,1,"2024"
"170806","AU",1,1,"2024"
"170920","AU",0,0,"2024"
"171098","AU",0,0,"2024"
"181617","A",0,0,"2024"
"190086","A",0,0,"2024"
"191166","AU",0,0,"2024"
"191242","AU",0,0,"2024"
"201046","AU",0,0,"2024"
"201050","AU",0,0,"2024"
"210616","AU",1,1,"2024"
"211000","DS",0,0,"2024"
"211039","DS",0,0,"2024"
"220932","AU",0,0,"2024"
"240087","AU",0,0,"2024"
"240098","AU",0,0,"2024"
"240109","AU",0,0,"2024"
"241842","DS",0,0,"2024"
"251485","AU",0,0,"2024"
"261167","AU",0,0,"2024"
"261302","DS",0,0,"2024"
"271124","AU",0,0,"2024"
"271345","AU",0,0,"2024"
"271431","AU",1,1,"2024"
"271653","AU",0,0,"2024"
"280672","AU",1,1,"2024"
"281050","AU",1,1,"2024"
"281321","AU",0,0,"2024"
"281323","AU",1,1,"2024"
"281383","AU",0,0,"2024"
"281525","AU",0,0,"2024"
"281585","AU",0,0,"2024"
"281674","AU",1,1,"2024"
"281675","AU",0,0,"2024"
"281699","AU",0,0,"2024"
"291714","AU",0,0,"2024"
"300570","AU",1,1,"2024"
"300593","AU",0,0,"2024"
"300650","AU",0,0,"2024"
"300802","AU",1,1,"2024"
"300902","AU",1,1,"2024"
"301364","AU",0,0,"2024"
"310909","AU",1,1,"2024"
"311361","AU",0,0,"2024"
"311754","AU",0,0,"2024"
"311822","AU",0,0,"2024"
"321565","AU",0,0,"2024"
"321574","AU",0,0,"2024"
"321575","AU",0,0,"2024"
"321615","DS",0,0,"2024"
"321651","AU",0,0,"2024"
"321686","AU",0,0,"2024"
"321692","AU",0,0,"2024"
"321836","AU",0,0,"2024"
"331456","AU",0,0,"2024"
"331632","AU",0,0,"2024"
"331779","AU",0,0,"2024"
"340841","AU",0,0,"2024"
"341162","AU",0,0,"2024"
"120691","DS",0,0,"2024"
"170921","AU",0,0,"2024"
"190240","DS",0,0,"2024"
"261213","AU",0,0,"2024"
