,row,col,species,StemTag,frac
682,30,48,Unknown,271126,12.767729483673982
683,30,49,Unknown,271126,0.0727371057714976
684,29,47,Unknown,261002,16.058069126549867
685,30,47,Unknown,261002,22.770783610024687
686,30,47,Unknown,260926,16.494196015550283
687,30,48,Unknown,260926,6.4013306662955225
688,29,48,Unknown,261011,0.016273335910636788
689,30,47,Unknown,261011,0.29526735048007924
690,30,48,Unknown,261011,10.442507791870327
691,30,47,Unknown,271124,3.166117578191594
692,30,48,Unknown,271124,10.239530502310084
693,0,19,Unknown,111944,13.230734606899745
694,0,20,Unknown,111944,10.086860085064085
695,5,24,Unknown,141822,8.941471765649009
696,5,25,Unknown,141822,0.03114219283830905
697,6,24,Unknown,141822,28.15081985915644
698,5,23,Unknown,131664,8.182854519089242
699,5,24,Unknown,131664,7.240528329753159
700,6,23,Unknown,131664,8.014561593985853
701,6,24,Unknown,131664,5.543045222577409
702,5,24,Unknown,131659,5.222116325535983
703,19,24,Unknown,151420,0.007481524712309773
704,19,25,Unknown,151420,11.948937233304774
705,20,24,Unknown,151420,0.7497344859651327
706,20,25,Unknown,151420,34.275283989124794
707,20,26,Unknown,151420,0.0035629032366204082
708,16,26,Unknown,151542,5.111842601408578
709,16,27,Unknown,151542,2.2231354548495217
710,17,26,Unknown,151542,15.757415996036276
711,17,27,Unknown,151542,8.445924363386807
712,16,27,Unknown,161877,5.92924306696647
713,16,28,Unknown,161877,4.448023061546035
714,17,27,Unknown,161877,11.997679264716169
715,17,28,Unknown,161877,42.39928529614217
716,16,27,Unknown,161860,6.505700185457348
717,17,27,Unknown,161860,7.196994843757551
718,17,27,Unknown,161886,19.143662545465677
719,15,24,Unknown,141411,10.046210699389778
720,15,25,Unknown,141411,0.8318591168075395
721,14,25,Unknown,151617,12.750714959262668
722,14,26,Unknown,151617,15.895891701148827
723,15,25,Unknown,151617,28.37983117509578
724,15,26,Unknown,151617,29.45767394527312
725,15,25,Unknown,141423,3.979961617512654
726,16,25,Unknown,141423,19.997381854356806
727,15,24,Unknown,151613,0.0014626660295114218
728,15,25,Unknown,151613,23.654848210979928
729,13,20,Unknown,121278,12.835773731028684
730,13,21,Unknown,121278,30.273539474403606
731,14,20,Unknown,121278,0.07188250889569492
732,14,21,Unknown,121278,4.772218659092078
733,13,21,Unknown,131242,0.462359280939562
734,14,21,Unknown,131242,4.769512193510302
735,14,22,Unknown,131242,1.448550169323858
736,13,21,Unknown,131234,19.97468709585015
737,13,22,Unknown,131234,5.418073041121497
738,13,21,Unknown,131235,0.2597390107365287
739,13,22,Unknown,131235,49.53107094730454
