,row,col,species,StemTag,frac
0,31,57,American beech,311361,17.403155486476816
1,23,61,American beech,331632,17.372603342468864
2,23,62,American beech,331632,54.36778632638289
3,24,61,American beech,331632,2.908859507092053
4,24,62,American beech,331632,10.240190362345217
5,22,61,American beech,331779,3.530245139423529
6,22,62,American beech,331779,3.1573889754781455
7,23,61,American beech,331779,1.5935662866726554
8,23,62,American beech,331779,0.400679885899392
9,14,48,American beech,261167,1.264499789759078
10,15,48,American beech,261167,6.937607346139362
11,14,48,American beech,261213,0.014070620226740781
12,15,47,American beech,261213,4.470742319229391
13,15,48,American beech,261213,6.203756181331155
14,18,51,American beech,281383,7.272089385240232
15,18,52,American beech,281383,0.7997293081907386
16,19,51,American beech,281383,0.015699515601085432
17,19,50,American beech,281321,7.226088717517663
18,19,51,American beech,281321,4.1603039363448975
19,18,53,American beech,291714,17.17426744832482
20,18,54,American beech,291714,13.084116437714027
21,19,53,American beech,291714,0.7813334024859133
22,21,10,American beech,081091,8.634904600749174
23,21,11,American beech,081091,5.582637422589761
24,22,10,American beech,081091,42.863296901361245
25,22,11,American beech,081091,9.574231306440993
26,25,59,American beech,321651,8.831854535609743
27,25,60,American beech,321651,0.5661311677403029
28,25,54,American beech,301364,21.33723768032618
29,25,55,American beech,301364,17.803380967090963
30,26,54,American beech,301364,10.74443472988746
31,26,55,American beech,301364,4.81744384564656
32,14,51,American beech,281585,10.568374975196337
33,14,52,American beech,281585,7.389977327545337
34,15,51,American beech,281585,4.060216400612821
35,15,52,American beech,281585,0.04077154311016536
36,1,37,American beech,211039,0.3872283186895035
37,1,38,American beech,211039,32.943356183011915
38,1,39,American beech,211039,1.2022276544361075
39,2,37,American beech,211039,0.30501566575310796
40,2,38,American beech,211039,35.650920749249735
41,2,39,American beech,211039,0.31133360423274037
